[DIAGNOSTIC] 2026-08-31T00:20:37.923Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 0
[DIAGNOSTIC] 2026-08-31T00:22:10.137Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 0
[DIAGNOSTIC] 2026-08-31T00:22:32.411Z | URL: /academic/questions | isReviewList: false | statusFilter:  | returned questions count: 3
[DIAGNOSTIC] 2026-08-31T00:22:34.253Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 0
[DIAGNOSTIC] 2026-08-31T00:22:36.477Z | URL: /academic/questions | isReviewList: false | statusFilter:  | returned questions count: 3
[DIAGNOSTIC] 2026-08-31T00:22:47.130Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:23:02.849Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:23:17.786Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:25:20.574Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:25:24.040Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:25:31.272Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 0
[DIAGNOSTIC] 2026-08-31T00:25:33.908Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:25:36.842Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 0
[DIAGNOSTIC] 2026-08-31T00:25:39.566Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:25:41.361Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:27:10.485Z | URL: /academic/questions | isReviewList: false | statusFilter:  | returned questions count: 4
[DIAGNOSTIC] 2026-08-31T00:27:10.824Z | URL: /academic/questions | isReviewList: false | statusFilter:  | returned questions count: 4
[DIAGNOSTIC] 2026-08-31T00:27:30.906Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 2
[DIAGNOSTIC] 2026-08-31T00:27:46.702Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 1
[DIAGNOSTIC] 2026-08-31T00:27:49.108Z | URL: /academic/questions/review | isReviewList: true | statusFilter: PENDING_MODERATION | returned questions count: 2
